2009-01-30 12:11:51 status half-installed libbabl-dev 0.0.22
2009-01-30 12:11:51 status half-installed libbabl-dev 0.0.22
2009-01-30 12:11:51 status unpacked libbabl-dev 0.0.22
2009-01-30 12:11:51 status unpacked libbabl-dev 0.0.22
2009-01-30 12:11:51 configure libbabl-dev 0.0.22 0.0.22
2009-01-30 12:11:51 status unpacked libbabl-dev 0.0.22
2009-01-30 12:11:51 status half-configured libbabl-dev 0.0.22
2009-01-30 12:11:51 status installed libbabl-dev 0.0.22
2009-01-30 12:12:03 startup archives install
2009-01-30 12:12:03 install libgegl-dev <none> 0.0.22
2009-01-30 12:12:03 status half-installed libgegl-dev 0.0.22
2009-01-30 12:12:04 status unpacked libgegl-dev 0.0.22
2009-01-30 12:12:04 status unpacked libgegl-dev 0.0.22
2009-01-30 12:12:04 configure libgegl-dev 0.0.22 0.0.22
2009-01-30 12:12:04 status unpacked libgegl-dev 0.0.22
2009-01-30 12:12:04 status half-configured libgegl-dev 0.0.22
2009-01-30 12:12:04 status installed libgegl-dev 0.0.22
2009-01-30 12:12:31 startup archives install
2009-01-30 12:12:31 install gimp-painter <none> 2.6.4
2009-01-30 12:12:31 status half-installed gimp-painter 2.6.4
2009-01-30 12:12:35 status triggers-pending man-db 2.5.2-2
2009-01-30 12:12:36 status half-installed gimp-painter 2.6.4
2009-01-30 12:12:37 status unpacked gimp-painter 2.6.4
2009-01-30 12:12:37 status unpacked gimp-painter 2.6.4
2009-01-30 12:12:37 configure gimp-painter 2.6.4 2.6.4
2009-01-30 12:12:37 status unpacked gimp-painter 2.6.4
2009-01-30 12:12:38 status half-configured gimp-painter 2.6.4
2009-01-30 12:12:38 status triggers-awaited gimp-painter 2.6.4
2009-01-30 12:12:38 trigproc man-db 2.5.2-2 2.5.2-2
2009-01-30 12:12:38 status half-configured man-db 2.5.2-2
2009-01-30 12:12:38 status installed gimp-painter 2.6.4
2009-01-30 12:12:38 status installed man-db 2.5.2-2
2009-01-30 12:13:19 startup archives install
2009-01-30 12:13:20 install libanimorph <none> 0.3
2009-01-30 12:13:20 status half-installed libanimorph 0.3
2009-01-30 12:13:20 status unpacked libanimorph 0.3
2009-01-30 12:13:20 status unpacked libanimorph 0.3
2009-01-30 12:13:20 configure libanimorph 0.3 0.3
2009-01-30 12:13:20 status unpacked libanimorph 0.3
2009-01-30 12:13:20 status half-configured libanimorph 0.3
2009-01-30 12:13:20 status installed libanimorph 0.3
2009-01-30 12:13:47 startup archives install
2009-01-30 12:13:47 install libmhgui <none> 0.2
2009-01-30 12:13:47 status half-installed libmhgui 0.2
2009-01-30 12:13:47 status unpacked libmhgui 0.2
2009-01-30 12:13:47 status unpacked libmhgui 0.2
2009-01-30 12:13:47 configure libmhgui 0.2 0.2
2009-01-30 12:13:47 status unpacked libmhgui 0.2
2009-01-30 12:13:48 status half-configured libmhgui 0.2
2009-01-30 12:13:48 status installed libmhgui 0.2
2009-01-30 12:14:29 startup archives install
2009-01-30 12:14:30 install handbrake <none> 0.9.3
2009-01-30 12:14:30 status half-installed handbrake 0.9.3
2009-01-30 12:14:30 status unpacked handbrake 0.9.3
2009-01-30 12:14:30 status unpacked handbrake 0.9.3
2009-01-30 12:16:25 startup packages remove
2009-01-30 12:16:25 status unpacked handbrake 0.9.3
2009-01-30 12:16:25 remove handbrake 0.9.3 0.9.3
2009-01-30 12:16:25 status half-installed handbrake 0.9.3
2009-01-30 12:16:25 status config-files handbrake 0.9.3
2009-01-30 12:16:25 status config-files handbrake 0.9.3
2009-01-30 12:16:25 status config-files handbrake 0.9.3
2009-01-30 12:16:25 status not-installed handbrake <none>
2009-01-30 12:18:00 startup archives install
2009-01-30 12:18:00 install makehuman <none> 0.9.1-rc1a
2009-01-30 12:18:00 status half-installed makehuman 0.9.1-rc1a
2009-01-30 12:18:08 status unpacked makehuman 0.9.1-rc1a
2009-01-30 12:18:08 status unpacked makehuman 0.9.1-rc1a
2009-01-30 12:18:08 configure makehuman 0.9.1-rc1a 0.9.1-rc1a
2009-01-30 12:18:08 status unpacked makehuman 0.9.1-rc1a
2009-01-30 12:18:08 status half-configured makehuman 0.9.1-rc1a
2009-01-30 12:18:08 status installed makehuman 0.9.1-rc1a
2009-02-09 06:25:24 startup archives unpack
2009-02-09 06:25:28 install xfce4-battery-plugin <none> 0.5.0-7
2009-02-09 06:25:28 status half-installed xfce4-battery-plugin 0.5.0-7
2009-02-09 06:25:28 status unpacked xfce4-battery-plugin 0.5.0-7
2009-02-09 06:25:28 status unpacked xfce4-battery-plugin 0.5.0-7
2009-02-09 06:25:28 startup packages configure
2009-02-09 06:25:28 configure xfce4-battery-plugin 0.5.0-7 0.5.0-7
2009-02-09 06:25:28 status unpacked xfce4-battery-plugin 0.5.0-7
2009-02-09 06:25:28 status half-configured xfce4-battery-plugin 0.5.0-7
2009-02-09 06:25:28 status installed xfce4-battery-plugin 0.5.0-7
2009-02-09 11:39:48 startup archives install
2009-02-09 11:39:48 upgrade gimp-painter 2.6.4 2.6.4
2009-02-09 11:39:48 status half-configured gimp-painter 2.6.4
2009-02-09 11:39:48 status unpacked gimp-painter 2.6.4
2009-02-09 11:39:48 status half-installed gimp-painter 2.6.4
2009-02-09 11:39:48 status half-installed gimp-painter 2.6.4
2009-02-09 11:39:50 status triggers-pending man-db 2.5.2-2
2009-02-09 11:39:50 status half-installed gimp-painter 2.6.4
2009-02-09 11:39:53 status unpacked gimp-painter 2.6.4
2009-02-09 11:39:53 status unpacked gimp-painter 2.6.4
2009-02-09 11:39:53 trigproc man-db 2.5.2-2 2.5.2-2
2009-02-09 11:39:53 status half-configured man-db 2.5.2-2
2009-02-09 11:39:53 status installed man-db 2.5.2-2
2009-02-09 11:40:40 startup packages remove
2009-02-09 11:40:44 startup packages remove
2009-02-09 11:40:44 status unpacked gimp-painter 2.6.4
2009-02-09 11:40:44 remove gimp-painter 2.6.4 2.6.4
2009-02-09 11:40:44 status half-installed gimp-painter 2.6.4
2009-02-09 11:40:44 status config-files gimp-painter 2.6.4
2009-02-09 11:40:44 status config-files gimp-painter 2.6.4
2009-02-09 11:40:44 status config-files gimp-painter 2.6.4
2009-02-09 11:40:44 status not-installed gimp-painter <none>
2009-02-09 11:40:58 startup packages remove
2009-02-09 11:40:58 status installed libgegl-dev 0.0.22
2009-02-09 11:40:58 remove libgegl-dev 0.0.22 0.0.22
2009-02-09 11:40:58 status half-configured libgegl-dev 0.0.22
2009-02-09 11:40:58 status half-installed libgegl-dev 0.0.22
2009-02-09 11:40:59 status config-files libgegl-dev 0.0.22
2009-02-09 11:40:59 status config-files libgegl-dev 0.0.22
2009-02-09 11:40:59 status config-files libgegl-dev 0.0.22
2009-02-09 11:40:59 status not-installed libgegl-dev <none>
2009-02-09 11:41:09 startup packages remove
2009-02-09 11:41:09 status installed libbabl-dev 0.0.22
2009-02-09 11:41:09 remove libbabl-dev 0.0.22 0.0.22
2009-02-09 11:41:09 status half-configured libbabl-dev 0.0.22
